name,Kommunal,Privat,Statslig,Unknown
Habitats_P3,187.4598,3193.3959,882.3428,273.905
Natura_2000,60.4485,2229.2764,1241.7097,347.1853
NaturaOgVildtreservater,7.1075,151.2679,164.3106,116.9193
Naturnationalparker,0.0467,2.353,253.6294,1.2716
Urort_Skov,0.4691,33.8735,651.3733,12.0081
