Nature_content,Area,Open_Nature,Urort_Skov,PGR,OMD,SO
All,6940.9662,2585.9934,524.9756,188.50209999999998,673.8576,698.996
Paragraph 3 and klit,4537.1035,4537.1035,152.4685,0,0,698.996
Natura 2000,3878.6199,1948.7095,473.0516,159.1499,587.3872,355.6422
IUCN,1091.7837,698.2715,85.3941,43.1797,117.65520000000001,100.4372
Urort_Skov,697.724,152.4685,697.724,24.4403,13.107099999999999,27.0807
NaturaOgVildtreservater,439.6053,313.3749,27.5358,8.019,10.167300000000001,71.2681
Naturnationalparker,255.35490000000001,105.9701,65.4385,8.6781,1.8771,6.1841
Stoette,56.735,12.6907,28.8091,1.6063,1.8126,0.30619999999999997
