Class,Proportion,Area_Sq_Km,Area_Exclusive,Area_Overlapped
Total,16.08758981030848,6940.9662,NA,NA
Paragraph_3,10.515979754362576,4537.1035,1588.4121,2948.6914
Nautra_2000,8.989763699079777,3878.6198999999997,642.6611,3235.9588
IUCN,2.5305076874140218,1091.7837,97.7216,994.0621
Urort_Skov,1.6171664274647635,697.7239999999999,155.4273,542.2967
NaturaOgVildtreservater,1.0189056596814436,439.6053,11.9836,427.6217
Naturnationalparker,0.5918549044731469,255.35490000000001,56.7245,198.6304
Stoette,0.13149889822080557,56.735,9.1648,47.5702
